NAMESPACE                 LAST SEEN   TYPE      REASON                    OBJECT                                                             MESSAGE
greenops-system           9m40s       Normal    Started                   pod/greenops-ai-sovereign-finops-operator-f6b676fb4-frs9c          Container started
envoy-gateway-system      9m12s       Normal    Scheduled                 pod/eg-gateway-helm-certgen-dgcp9                                  Successfully assigned envoy-gateway-system/eg-gateway-helm-certgen-dgcp9 to greenops-control-plane
envoy-gateway-system      9m12s       Normal    Pulling                   pod/eg-gateway-helm-certgen-dgcp9                                  Pulling image "docker.io/envoyproxy/gateway:v1.5.0"
envoy-gateway-system      9m12s       Normal    SuccessfulCreate          job/eg-gateway-helm-certgen                                        Created pod: eg-gateway-helm-certgen-dgcp9
envoy-gateway-system      9m1s        Normal    Pulled                    pod/eg-gateway-helm-certgen-dgcp9                                  Successfully pulled image "docker.io/envoyproxy/gateway:v1.5.0" in 10.591s (10.591s including waiting). Image size: 74229543 bytes.
envoy-gateway-system      9m1s        Normal    Created                   pod/eg-gateway-helm-certgen-dgcp9                                  Container created
envoy-gateway-system      9m1s        Normal    Started                   pod/eg-gateway-helm-certgen-dgcp9                                  Container started
envoy-gateway-system      8m55s       Normal    Completed                 job/eg-gateway-helm-certgen                                        Job completed
envoy-gateway-system      8m55s       Normal    Scheduled                 pod/envoy-gateway-6b9486fbbc-5w8cz                                 Successfully assigned envoy-gateway-system/envoy-gateway-6b9486fbbc-5w8cz to greenops-control-plane
envoy-gateway-system      8m55s       Normal    ScalingReplicaSet         deployment/envoy-gateway                                           Scaled up replica set envoy-gateway-6b9486fbbc from 0 to 1
envoy-gateway-system      8m55s       Normal    SuccessfulCreate          replicaset/envoy-gateway-6b9486fbbc                                Created pod: envoy-gateway-6b9486fbbc-5w8cz
envoy-gateway-system      8m54s       Normal    Started                   pod/envoy-gateway-6b9486fbbc-5w8cz                                 Container started
envoy-gateway-system      8m54s       Normal    Created                   pod/envoy-gateway-6b9486fbbc-5w8cz                                 Container created
envoy-gateway-system      8m54s       Normal    Pulled                    pod/envoy-gateway-6b9486fbbc-5w8cz                                 Container image "docker.io/envoyproxy/gateway:v1.5.0" already present on machine and can be accessed by the pod
envoy-gateway-system      8m53s       Normal    LeaderElection            lease/5b9825d2.gateway.envoyproxy.io                               envoy-gateway-6b9486fbbc-5w8cz_df7afc99-0695-4653-afdf-632a56961d3b became leader
envoy-ai-gateway-system   8m33s       Normal    Scheduled                 pod/ai-gateway-controller-897c74ddb-zw8nw                          Successfully assigned envoy-ai-gateway-system/ai-gateway-controller-897c74ddb-zw8nw to greenops-control-plane
envoy-ai-gateway-system   8m33s       Normal    Pulling                   pod/ai-gateway-controller-897c74ddb-zw8nw                          Pulling image "docker.io/envoyproxy/ai-gateway-controller:v0.7.0"
envoy-ai-gateway-system   8m33s       Normal    SuccessfulCreate          replicaset/ai-gateway-controller-897c74ddb                         Created pod: ai-gateway-controller-897c74ddb-zw8nw
envoy-ai-gateway-system   8m33s       Normal    ScalingReplicaSet         deployment/ai-gateway-controller                                   Scaled up replica set ai-gateway-controller-897c74ddb from 0 to 1
envoy-ai-gateway-system   8m19s       Normal    Pulled                    pod/ai-gateway-controller-897c74ddb-zw8nw                          Successfully pulled image "docker.io/envoyproxy/ai-gateway-controller:v0.7.0" in 12.959s (12.959s including waiting). Image size: 45438281 bytes.
envoy-ai-gateway-system   8m19s       Normal    Created                   pod/ai-gateway-controller-897c74ddb-zw8nw                          Container created
envoy-ai-gateway-system   8m19s       Normal    Started                   pod/ai-gateway-controller-897c74ddb-zw8nw                          Container started
envoy-ai-gateway-system   8m17s       Normal    LeaderElection            lease/envoy-ai-gateway-controller                                  ai-gateway-controller-897c74ddb-zw8nw_e7c2df61-3264-4ce9-b512-ec86ee99c299 became leader
envoy-gateway-system      8m12s       Normal    SuccessfulCreate          replicaset/envoy-default-greenops-aigw-dac3126f-54f887cbf5         Created pod: envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l
envoy-gateway-system      8m12s       Normal    ScalingReplicaSet         deployment/envoy-default-greenops-aigw-dac3126f                    Scaled up replica set envoy-default-greenops-aigw-dac3126f-54f887cbf5 from 0 to 1
envoy-gateway-system      8m12s       Normal    ScalingReplicaSet         deployment/envoy-default-greenops-aigw-dac3126f                    Scaled up replica set envoy-default-greenops-aigw-dac3126f-5496985bff from 0 to 1
envoy-gateway-system      8m12s       Normal    Scheduled                 pod/envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l          Successfully assigned envoy-gateway-system/envoy-default-greenops-aigw-dac3126f-54f887cbf5-qdr9l to greenops-control-plane
envoy-gateway-system      8m12s       Normal    SuccessfulCreate          replicaset/envoy-default-greenops-aigw-dac3126f-5496985bff         Created pod: envoy-default-greenops-aigw-dac3126f-5496985bff-6g7fm
